10 2048 3.59751e+06 1.97487e+06 5.30028e+06 3.48033e+09
11 4096 2.33059e+06 1.96653e+06 4.40719e+06 3.52982e+09
12 8192 3.34838e+06 3.38993e+06 6.70936e+06 4.75823e+09
13 16384 3.35266e+06 3.56682e+06 5.08366e+06 4.78372e+09
14 32768 3.57681e+06 3.66284e+06 6.05691e+06 3.14344e+09
15 65536 3.13187e+06 3.56689e+06 6.26531e+06 4.61585e+09
16 131072 3.16737e+06 3.63404e+06 6.66099e+06 4.59778e+09
17 262144 2.98503e+06 3.51195e+06 6.24622e+06 4.34617e+09
18 524288 2.79109e+06 3.49967e+06 6.07291e+06 2.57183e+09
19 1048576 2.66707e+06 3.46187e+06 5.90639e+06 2.07991e+09
20 2097152 2.57774e+06 3.42338e+06 5.10576e+06 1.45191e+09
21 4194304 2.37068e+06 3.20705e+06 5.50704e+06 2.31127e+09
22 8388608 2.31825e+06 2.93761e+06 5.30744e+06 2.31135e+09
